dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,21.222294,15.623348,29.552255,7.675064,-5.828615,6.199144,1.740932
0.050000,21.157333,15.987471,29.922127,7.397457,-5.552149,5.529322,1.752392
0.050000,21.092159,16.338008,30.278671,7.130877,-5.331587,4.411245,1.755522
0.050000,21.029633,16.675884,30.622284,6.872251,-5.172525,3.181249,1.750720
0.050000,20.972223,17.001803,30.953221,6.618739,-5.070233,2.045842,1.738245
0.050000,20.922082,17.316234,31.271625,6.368077,-5.013253,1.139595,1.718239
0.050000,20.881080,17.619417,31.577568,6.118863,-4.984273,0.579593,1.690777
0.050000,20.850814,17.911395,31.871111,5.870855,-4.960162,0.482219,1.655920
0.050000,20.832598,18.192070,32.152376,5.625303,-4.911047,0.982304,1.613792
0.050000,20.827435,18.461283,32.421638,5.385253,-4.800999,2.200965,1.564667
0.050000,20.835997,18.718922,32.679419,5.155615,-4.592754,4.164897,1.509067
0.050000,20.858631,18.965026,32.926562,4.942867,-4.254967,6.755741,1.447834
0.050000,20.895395,19.199873,33.164269,4.754126,-3.774811,9.603121,1.382169
0.050000,20.946116,19.423988,33.394052,4.595658,-3.169365,12.108916,1.313583
0.050000,21.010462,19.638091,33.617615,4.471269,-2.487778,13.631734,1.243777
0.050000,21.087975,19.842970,33.836667,4.381043,-1.804527,13.665030,1.174459
0.050000,21.178077,20.039355,34.052735,4.321353,-1.193787,12.214791,1.107153
0.050000,21.280051,20.227819,34.267019,4.285676,-0.713535,9.605043,1.043059
0.050000,21.393020,20.408766,34.480335,4.266328,-0.386963,6.531442,0.982994
0.050000,21.521879,20.592022,34.704360,4.480494,4.283309,93.405440,0.946026
0.050000,21.671714,20.797989,34.959062,5.094042,12.270965,159.753126,0.937314
0.050000,21.819311,20.996768,35.206646,4.951685,-2.847130,-302.361909,0.926485
0.050000,21.964965,21.188142,35.447144,4.809960,-2.834516,0.252278,0.913570
0.050000,22.108917,21.371906,35.680577,4.668663,-2.825926,0.171799,0.898591
0.050000,22.251355,21.547864,35.906962,4.527690,-2.819458,0.129375,0.881564
0.050000,22.392419,21.715838,36.126311,4.386993,-2.813947,0.110219,0.862502
0.050000,22.532204,21.875664,36.338642,4.246618,-2.807496,0.129025,0.841423
0.050000,22.670762,22.027203,36.543977,4.106691,-2.798554,0.178839,0.818347
0.050000,22.808104,22.170342,36.742349,3.967437,-2.785066,0.269745,0.793310
0.050000,22.944205,22.305000,36.933807,3.829168,-2.765396,0.393413,0.766359
0.050000,23.079008,22.431138,37.118422,3.692306,-2.737222,0.563478,0.737566
0.050000,23.212432,22.548759,37.296290,3.557340,-2.699320,0.758043,0.707026
0.050000,23.344374,22.657917,37.467532,3.424851,-2.649781,0.990782,0.674861
0.050000,23.474718,22.758716,37.632305,3.295460,-2.587824,1.239126,0.641228
0.050000,23.603342,22.851317,37.790795,3.169804,-2.513122,1.494034,0.606311
0.050000,23.730124,22.935933,37.943220,3.048496,-2.426171,1.739033,0.570330
0.050000,23.854946,23.012824,38.089824,2.932077,-2.328370,1.956018,0.533527
